datetime,UK_3_Month_ILO_Employment_Actual,UK_3_Month_ILO_Employment_Srv_Med,UK_3_Month_ILO_Employment_Revised,UK_3_Month_ILO_Employment_Prior,unit
2023-08-15 14:00:00,-6.6,7.5,,10.2,万人
2023-07-11 14:00:00,10.2,12.5,,25,万人
2023-06-13 14:00:00,25.0,16.2,,18.2,万人
2023-05-16 14:00:00,18.2,16.0,,16.9,万人
2023-04-18 14:00:00,16.9,5.0,,6.5,万人
2023-03-14 15:00:00,6.5,5.2,,7.4,万人
2023-02-14 15:00:00,7.4,4.0,,2.7,万人
2023-01-17 15:00:00,2.7,0.5,,2.7,万人
2022-12-13 15:00:00,2.7,-1.7,,-5.2,万人
2022-11-15 15:00:00,-5.2,-2.5,,-10.9,万人
2022-10-11 14:00:00,-10.9,-15.5,,4,万人
2022-09-13 14:00:00,4.0,12.8,,16,万人
2022-08-16 14:00:00,16.0,25.6,,29.6,万人
2022-06-14 14:00:00,17.7,10.5,,8.3,万人
2022-05-17 14:00:00,8.3,0.5,,1,万人
2022-04-12 14:00:00,1.0,5.0,,-1.2,万人
2022-03-15 15:00:00,-1.2,2.3,,-3.8,万人
2022-02-15 15:00:00,-3.8,-6.5,,6,万人
2022-01-18 15:00:00,6.0,12.5,,14.9,万人
