datetime,EUR_GDP_QoQ_Actual,EUR_GDP_QoQ_Srv_Med,EUR_GDP_QoQ_Revised,EUR_GDP_QoQ_Prior,Is_P
2023-09-07 17:00:00,None,None,0.3,2.2,0.0
2023-08-16 17:00:00,0.3,0.3,0.0,0.3,1.0
2023-07-31 17:00:00,0.3,0.2,0.0,-0.1,1.0
2023-06-08 17:00:00,-0.1,0.0,-0.1,0.1,1.0
2023-05-16 17:00:00,0.1,0.1,0.3,0.1,1.0
2023-04-28 17:00:00,0.1,0.2,0.0,0.0,1.0
2023-03-08 18:00:00,0.0,0.1,0.3,0.1,1.0
2023-02-14 18:00:00,0.1,0.1,0.3,0.1,1.0
2023-01-31 18:00:00,0.1,-0.1,0.3,0.3,1.0
2022-12-07 18:00:00,0.3,0.2,0.2,0.2,1.0
2022-11-15 18:00:00,0.2,0.2,0.8,0.2,1.0
2022-10-31 18:00:00,0.2,1.0,0.8,0.8,1.0
2022-09-07 17:00:00,0.8,0.6,0.5,0.6,1.0
2022-08-17 17:00:00,0.6,0.7,0.7,0.7,1.0
2022-07-29 17:00:00,0.7,0.2,0.6,0.6,1.0
2022-06-08 17:00:00,0.6,0.3,0.2,0.3,1.0
2022-05-17 17:00:00,0.3,0.2,0.2,0.2,1.0
2022-04-29 17:00:00,0.2,0.3,0.3,0.3,1.0
2022-03-08 18:00:00,0.3,0.3,2.2,0.3,1.0
2022-02-15 18:00:00,0.3,0.3,2.2,0.3,1.0
2022-01-31 18:00:00,0.3,0.3,2.2,2.2,1.0
2021-12-07 18:00:00,2.2,2.2,2.1,2.2,1.0
2021-11-16 18:00:00,2.2,2.2,2.1,0.4,0.0
2021-10-29 17:00:00,2.2,None,2.1,2.2,1.0
2021-09-07 17:00:00,2.2,2.0,2.0,2.0,1.0
2021-08-17 17:00:00,2.0,2.0,2.0,2.0,1.0
2021-07-30 17:00:00,2.0,1.5,-0.3,-0.3,1.0
2021-06-08 17:00:00,-0.3,-0.6,-0.6,-0.6,1.0
2021-05-18 17:00:00,-0.6,-0.6,-0.6,-0.6,1.0
2021-04-30 17:00:00,-0.6,-0.8,-0.7,-0.7,1.0
2021-03-09 18:00:00,-0.7,-0.6,12.4,-0.6,1.0
2021-02-16 18:00:00,-0.6,-0.7,12.4,-0.7,1.0
2021-02-02 18:00:00,-0.7,12.7,12.4,12.5,1.0
2020-12-08 18:00:00,12.5,12.6,-11.8,12.6,1.0
2020-11-13 18:00:00,12.6,12.7,-11.8,12.7,1.0
2020-10-30 18:00:00,12.7,9.4,-11.8,-11.8,1.0
2020-09-08 17:00:00,-11.8,-12.1,-12.1,-12.1,1.0
2020-08-14 17:00:00,-12.1,-12.1,-12.1,-12.1,1.0
2020-07-31 17:00:00,-12.1,-11.2,-3.6,-3.6,1.0
2020-06-09 17:00:00,-3.6,-3.8,-3.8,-3.8,1.0
2020-05-15 17:00:00,-3.8,-3.8,-3.8,-3.8,1.0
2020-04-30 17:00:00,-3.8,-3.2,0.1,0.1,1.0
2020-03-10 18:00:00,0.1,0.1,0.3,0.1,1.0
2020-02-14 18:00:00,0.1,0.1,0.3,0.1,1.0
2020-01-31 18:00:00,0.1,0.2,0.2,0.2,1.0
2019-12-05 18:00:00,0.2,0.2,0.2,0.2,1.0
2019-11-14 18:00:00,0.2,0.2,0.2,0.2,1.0
2019-10-31 18:00:00,0.2,0.1,0.2,0.2,1.0
2019-09-06 17:00:00,0.2,0.2,0.4,0.2,1.0
2019-08-14 17:00:00,0.2,0.2,0.2,0.2,1.0
2019-07-31 17:00:00,0.2,0.2,0.4,0.4,1.0
2019-06-06 17:00:00,0.4,0.4,0.4,0.2,0.0
2019-05-15 17:00:00,0.4,0.4,0.4,0.4,1.0
2019-04-30 17:00:00,0.4,0.3,0.2,0.2,1.0
2019-03-07 18:00:00,0.2,0.2,0.2,0.2,0.0
2019-02-14 18:00:00,0.2,0.2,0.2,0.2,1.0
2019-01-31 18:00:00,0.2,0.2,0.2,0.2,1.0
2018-12-07 18:00:00,0.2,0.2,0.2,0.4,0.0
2018-11-14 18:00:00,0.2,0.2,0.2,0.2,1.0
2018-10-30 18:00:00,0.2,0.4,0.4,0.4,1.0
2018-09-07 17:00:00,0.4,0.4,0.4,0.4,0.0
2018-08-14 17:00:00,0.4,0.3,0.3,0.3,1.0
2018-07-31 17:00:00,0.3,0.4,0.4,0.4,1.0
2018-06-07 17:00:00,0.4,0.4,0.4,0.6,0.0
2018-05-15 17:00:00,0.4,0.4,0.4,0.4,1.0
2018-05-02 17:00:00,0.4,0.4,0.6,0.6,1.0
2018-03-07 18:00:00,0.6,0.6,0.6,0.6,0.0
2018-02-14 18:00:00,0.6,0.6,0.6,0.6,1.0
2018-01-30 18:00:00,0.6,0.6,0.7,0.6,1.0
2017-12-07 18:00:00,0.6,0.6,0.6,0.6,0.0
2017-11-14 18:00:00,0.6,0.6,0.6,0.6,1.0
2017-10-31 18:00:00,0.6,0.6,0.6,0.6,1.0
2017-09-07 17:00:00,0.6,0.6,0.6,0.6,0.0
2017-08-16 17:00:00,0.6,0.6,0.6,0.6,1.0
2017-08-01 17:00:00,0.6,0.6,0.5,0.5,1.0
2017-06-08 17:00:00,0.6,0.5,0.5,0.4,0.0
2017-05-16 17:00:00,0.5,0.5,0.5,0.5,1.0
2017-05-03 17:00:00,0.5,0.5,0.4,0.4,1.0
2017-03-07 18:00:00,0.4,0.4,0.4,0.3,0.0
2017-02-14 18:00:00,0.4,0.5,0.5,0.5,1.0
2017-01-31 18:00:00,0.5,0.4,0.4,0.3,1.0
2016-12-06 18:00:00,0.3,0.3,0.3,0.3,0.0
2016-11-15 18:00:00,0.3,0.3,0.3,0.3,1.0
2016-10-31 18:00:00,0.3,0.3,0.3,0.3,1.0
2016-09-06 17:00:00,0.3,0.3,0.3,0.6,0.0
2016-08-12 17:00:00,0.3,0.3,0.3,0.3,1.0
2016-07-29 17:00:00,0.3,0.3,0.6,0.5,1.0
2016-06-07 17:00:00,0.6,0.5,0.5,0.3,0.0
2016-05-13 17:00:00,0.5,0.6,0.6,0.6,1.0
2016-04-29 17:00:00,0.6,0.4,0.3,0.3,1.0
2016-03-08 18:00:00,0.3,0.3,0.3,0.3,0.0
2016-02-12 18:00:00,0.3,0.3,0.3,0.3,1.0
2015-12-08 18:00:00,0.3,0.3,0.3,0.4,0.0
2015-11-13 18:00:00,0.3,0.4,0.4,0.3,1.0
2015-09-08 17:00:00,0.4,0.3,0.5,0.3,0.0
2015-08-14 17:00:00,0.3,0.4,0.4,0.4,1.0
2015-06-09 16:10:00,0.4,0.4,0.4,0.4,1.0
2015-05-13 17:00:00,0.4,0.5,0.3,0.3,1.0
2015-03-06 18:00:00,0.3,0.3,0.3,0.0,0.0
2015-02-13 18:00:00,0.3,0.2,0.2,0.2,1.0
2014-12-05 18:00:00,0.2,0.2,0.2,0.2,1.0
2014-11-14 18:00:00,0.2,0.1,0.1,0.0,1.0
2014-09-05 17:00:00,0.0,0.0,0.0,0.2,0.0
2014-08-14 17:00:00,0.0,0.1,0.2,0.2,1.0
2014-07-02 17:00:00,0.2,0.2,0.2,0.2,0.0
2014-06-04 17:00:00,0.2,0.2,0.2,0.2,1.0
2014-05-15 17:00:00,0.2,0.4,0.2,0.3,1.0
2014-04-02 17:00:00,0.2,0.3,0.3,0.1,0.0
2014-03-05 18:00:00,0.3,0.3,0.3,0.3,1.0
2014-02-14 18:00:00,0.3,0.2,0.1,0.1,1.0
2014-01-10 18:00:00,0.1,0.1,0.1,0.3,0.0
2013-12-04 18:00:00,0.1,0.1,0.1,0.1,1.0
2013-11-14 18:00:00,0.1,0.2,0.3,0.3,1.0
2013-10-07 17:00:00,0.3,0.3,0.3,-0.3,0.0
2013-09-04 17:00:00,0.3,0.3,0.3,0.3,1.0
2013-08-14 17:00:00,0.3,0.2,-0.3,-0.2,1.0
2013-07-04 17:00:00,-0.3,-0.2,-0.2,-0.6,0.0
2013-06-05 17:00:00,-0.2,-0.2,-0.2,-0.2,1.0
2013-05-15 17:00:00,-0.2,-0.1,-0.6,-0.6,1.0
2013-04-05 17:00:00,-0.6,-0.6,-0.6,-0.1,0.0
2013-03-06 18:00:00,-0.6,-0.6,-0.6,-0.6,1.0
2013-02-14 18:00:00,-0.6,-0.4,-0.1,-0.1,1.0
2013-01-09 18:00:00,-0.1,-0.1,-0.1,-0.2,0.0
2012-12-06 18:00:00,-0.1,-0.1,-0.1,-0.1,1.0
2012-11-15 18:00:00,-0.1,-0.2,-0.2,-0.2,1.0
2012-10-05 17:00:00,-0.2,-0.2,-0.2,0.0,0.0
2012-09-06 17:00:00,-0.2,-0.2,-0.2,-0.2,1.0
2012-08-14 17:00:00,-0.2,-0.2,0.0,0.0,1.0
2012-07-04 17:10:00,0.0,0.0,0.0,-0.3,0.0
2012-06-06 17:00:00,0.0,0.0,0.0,0.0,1.0
2012-05-15 17:00:00,0.0,-0.2,-0.3,-0.3,1.0
2012-04-03 17:00:00,-0.3,-0.3,-0.3,0.1,0.0
2012-03-06 18:00:00,-0.3,-0.3,-0.3,-0.3,1.0
2012-02-15 18:00:00,-0.3,-0.4,0.1,0.2,1.0
2012-01-11 19:10:00,0.1,0.2,0.2,0.2,0.0
2011-12-06 18:00:00,0.2,0.2,0.2,0.2,1.0
2011-11-15 18:00:00,0.2,0.2,0.2,0.2,1.0
2011-10-05 17:00:00,0.2,0.2,0.2,0.2,0.0
2011-09-06 17:00:00,0.2,0.2,0.2,0.8,0.0
2011-08-16 17:00:00,0.2,0.3,0.8,0.8,1.0
2011-07-06 17:00:00,0.8,0.8,0.8,0.8,0.0
2011-06-08 17:00:00,0.8,0.8,0.8,0.3,0.0
2011-05-13 17:00:00,0.8,0.6,0.3,0.3,1.0
2011-04-06 17:00:00,0.3,0.3,0.3,0.3,0.0
2011-03-03 18:00:00,0.3,0.3,0.3,0.3,0.0
2011-02-15 18:00:00,0.3,0.4,0.3,0.4,1.0
2011-01-07 18:00:00,0.3,0.4,0.4,0.4,0.0
2010-12-02 18:00:00,0.4,0.4,0.4,1.0,0.0
2010-11-12 18:00:00,0.4,0.5,1.0,1.0,1.0
2010-10-06 17:00:00,1.0,1.0,1.0,1.0,0.0
2010-09-02 17:00:00,1.0,1.0,1.0,0.2,0.0
2010-08-13 17:00:00,1.0,0.7,0.2,0.2,1.0
2010-07-07 17:00:00,0.2,0.2,0.2,0.2,0.0
2010-06-04 17:00:00,0.2,0.2,0.2,0.0,0.0
2010-05-12 17:00:00,0.2,0.1,0.0,0.1,1.0
2010-04-07 17:00:00,0.0,0.1,0.1,0.1,0.0
2010-03-04 18:00:00,0.1,0.1,0.1,0.4,0.0
2010-02-12 18:00:00,0.1,0.4,0.4,0.4,1.0
2010-01-08 18:00:00,0.4,0.4,0.4,0.4,0.0
2009-12-03 18:00:00,0.4,0.4,0.4,-0.2,0.0
2009-11-13 18:00:00,0.4,0.6,-0.2,-0.1,1.0
2009-10-07 17:00:00,-0.2,-0.1,-0.1,-0.1,0.0
2009-09-02 17:00:00,-0.1,-0.1,-0.1,-2.5,0.0
2009-08-13 17:00:00,-0.1,-0.5,-2.5,-2.5,1.0
2009-07-08 17:00:00,-2.5,-2.5,-2.5,-1.6,0.0
2009-06-03 17:00:00,-2.5,-2.5,-2.5,-2.5,1.0
2009-05-15 17:00:00,-2.5,-2.1,-1.6,-1.5,1.0
2009-04-07 17:00:00,-1.6,-1.5,-1.5,-1.5,0.0
2009-03-05 18:00:00,-1.5,-1.5,-1.5,-0.2,0.0
2009-02-13 17:00:00,-1.5,-1.3,-0.2,,1.0
2009-01-08 17:00:00,-0.2,-0.2,-0.2,-0.2,0.0
2008-12-04 18:00:00,-0.2,-0.2,-0.2,-0.2,0.0
2008-12-04 17:00:00,-0.2,-0.2,-0.2,-0.2,0.0
2008-10-08 17:00:00,-0.2,-0.2,0.7,-0.2,0.0
2008-09-03 17:00:00,-0.2,-0.2,-0.2,0.7,0.0
2008-07-09 17:00:00,0.7,0.7,0.8,0.8,0.0
2008-06-03 18:00:00,0.8,0.7,0.7,0.7,0.0
2008-05-15 18:00:00,0.7,0.5,0.4,0.4,0.0
2008-04-09 17:00:00,0.4,0.4,0.4,0.4,0.0
2008-03-04 18:00:00,0.4,0.4,0.4,0.0,0.0
2008-02-14 13:00:00,0.0,0.3,0.3,,0.0
