datetime,JP_RS_YoY_Actual,JP_RS_YoY_Srv_Med,JP_RS_YoY_Revised,JP_RS_YoY_Prior
2023-08-31 07:50:00,None,5.4,5.9,5.9
2023-07-31 07:50:00,5.9,5.9,5.8,5.7
2023-06-29 07:50:00,5.7,5.4,5.1,5.0
2023-05-31 07:50:00,5.0,5.8,6.9,7.2
2023-04-28 07:50:00,7.2,5.8,7.3,6.6
2023-03-31 07:50:00,6.6,5.8,5.0,6.3
2023-02-28 07:50:00,6.3,4.0,3.8,3.8
2023-01-31 07:50:00,3.8,3.0,2.5,2.6
2022-12-27 07:50:00,2.6,3.7,4.4,4.3
2022-11-29 07:50:00,4.3,5.0,4.8,4.5
2022-10-31 07:50:00,4.5,4.1,4.1,4.1
2022-09-30 07:50:00,4.1,2.8,2.4,2.4
2022-08-31 07:50:00,2.4,1.9,1.5,1.5
2022-07-29 07:50:00,1.5,2.8,3.7,3.6
2022-06-29 07:50:00,3.6,3.3,3.1,2.9
2022-05-31 07:50:00,2.9,2.6,0.7,0.9
2022-04-28 07:50:00,0.9,0.4,-0.9,-0.8
2022-03-30 07:50:00,-0.8,-0.3,1.1,1.6
2022-02-28 07:50:00,1.6,1.4,1.2,1.4
2022-01-31 07:50:00,1.4,2.7,1.9,1.9
2021-12-27 07:50:00,1.9,1.7,0.9,0.9
2021-11-29 07:50:00,0.9,1.1,-0.5,-0.6
2021-10-28 07:50:00,-0.6,-2.3,-3.2,-3.2
2021-09-30 07:50:00,-3.2,-1.0,2.4,2.4
2021-08-30 07:50:00,2.4,2.1,0.1,0.1
2021-07-30 07:50:00,0.1,0.2,8.3,8.2
2021-06-29 07:50:00,8.2,7.9,11.9,12.0
2021-05-31 07:50:00,12.0,15.3,5.2,5.2
2021-04-28 07:50:00,5.2,4.7,-1.5,-1.5
2021-03-30 07:50:00,-1.5,-2.8,-2.4,-2.4
2021-02-26 07:50:00,-2.4,-2.6,-0.2,-0.3
2021-01-28 07:50:00,-0.3,-0.4,0.6,0.7
2020-12-25 07:50:00,0.7,1.7,11.9,6.4
2020-11-30 07:50:00,6.4,-7.7,-8.7,-8.7
2020-10-29 07:50:00,-8.7,-7.7,-1.9,-1.9
2020-09-30 07:50:00,-1.9,-3.5,-2.9,-2.8
2020-08-31 07:50:00,-2.8,-1.7,3.9,-1.2
2020-07-30 07:50:00,-1.2,-6.5,-12.5,-12.3
2020-06-29 07:50:00,-12.3,-11.6,-13.9,-13.7
2020-05-29 07:50:00,-13.7,-11.5,-4.7,-4.6
2020-04-30 07:50:00,-4.6,-4.7,1.6,1.7
2020-03-31 07:50:00,1.7,-1.2,-0.4,-0.4
2020-02-28 07:50:00,-0.4,-1.1,-2.6,-2.6
2020-01-31 07:50:00,-2.6,-1.8,-2.1,-2.1
2019-12-27 07:50:00,-2.1,-1.7,-7.0,-7.1
2019-11-28 07:50:00,-7.1,-3.8,9.2,9.1
2019-10-30 07:50:00,9.1,6.9,1.8,2.0
2019-09-30 07:50:00,2.0,0.9,-2.0,-2.0
2019-08-30 07:50:00,-2.0,-0.6,0.5,0.5
2019-07-29 07:50:00,0.5,0.2,1.3,1.2
2019-06-27 07:50:00,1.2,1.2,0.4,0.5
2019-05-31 07:50:00,0.5,1.0,1.0,1.0
2019-04-26 07:50:00,1.0,0.8,0.6,0.4
2019-03-29 07:50:00,0.4,0.9,0.6,0.6
2019-02-28 07:50:00,0.6,1.4,1.3,1.3
2019-01-30 07:50:00,1.3,0.9,1.4,1.4
2018-12-28 07:50:00,1.4,2.2,3.6,3.5
2018-11-29 07:50:00,3.5,2.7,2.2,2.1
2018-10-29 07:50:00,2.1,2.1,2.7,2.7
2018-09-28 07:50:00,2.7,2.2,1.5,1.5
2018-08-30 07:50:00,1.5,1.2,1.7,1.8
2018-07-30 07:50:00,1.8,1.7,0.6,0.6
2018-06-28 07:50:00,0.6,1.3,1.5,1.6
2018-05-30 07:50:00,1.6,0.9,1.0,1.0
2018-04-27 07:50:00,1.0,1.5,1.7,1.6
2018-03-29 07:50:00,1.6,1.7,1.5,1.6
2018-02-28 07:50:00,1.6,2.6,3.6,3.6
2018-01-30 07:50:00,3.6,2.1,2.1,2.2
2017-12-28 07:50:00,2.2,1.2,-0.2,-0.2
2017-11-29 07:50:00,-0.2,-0.2,2.3,2.2
2017-10-30 07:50:00,2.2,2.5,1.8,1.7
2017-09-29 07:50:00,1.7,2.6,1.8,1.9
2017-08-30 07:50:00,1.9,1.0,2.1,2.1
2017-07-28 07:50:00,2.1,2.3,2.0,2.0
2017-06-29 07:50:00,2.0,2.6,3.2,3.2
2017-05-30 07:50:00,3.2,2.3,2.1,2.1
2017-04-28 07:50:00,2.1,1.5,0.1,0.1
2017-03-29 07:50:00,0.1,0.5,1.0,1.0
2017-02-28 07:50:00,1.0,0.9,0.6,0.6
2017-01-30 07:50:00,0.6,1.3,1.7,1.7
2016-12-28 07:50:00,1.7,0.9,-0.1,-0.1
2016-11-29 07:50:00,-0.1,-1.2,-1.9,-1.9
2016-10-31 07:50:00,-1.9,-1.8,-2.1,-2.1
2016-09-29 07:50:00,-2.1,-1.8,-0.2,-0.2
2016-08-30 07:50:00,-0.2,-0.9,-1.4,-1.4
2016-07-29 07:50:00,-1.4,-1.5,-1.9,-1.9
2016-06-29 07:50:00,-1.9,-1.6,-0.8,-0.8
2016-05-30 07:50:00,-0.8,-1.2,-1.1,-1.1
2016-04-28 07:50:00,-1.1,-1.5,0.4,0.5
2016-03-29 07:50:00,0.5,1.7,-0.1,-0.1
2016-02-29 07:50:00,-0.1,0.5,-1.1,-1.1
2016-01-28 07:50:00,-1.1,-0.1,-1.0,-1.0
2015-12-28 07:50:00,-1.0,-0.6,1.8,1.8
2015-11-30 07:50:00,1.8,0.8,-0.2,-0.2
2015-10-28 07:50:00,-0.2,0.4,0.8,0.8
2015-09-30 07:50:00,0.8,1.1,1.8,1.6
2015-08-28 07:50:00,1.6,1.1,0.9,0.9
2015-07-29 07:50:00,0.9,0.5,3.0,3.0
2015-06-29 07:50:00,3.0,2.3,4.9,5.0
2015-05-28 07:50:00,5.0,5.4,-9.7,-9.7
2015-04-28 07:50:00,-9.7,-7.3,-1.7,-1.8
2015-03-27 07:50:00,-1.8,-1.5,-2.0,-2.0
2015-02-27 07:50:00,-2.0,-1.3,0.2,0.2
2015-01-29 07:50:00,0.2,0.9,0.5,0.4
2014-12-26 07:50:00,0.4,1.1,1.4,1.4
2014-11-28 07:50:00,1.4,1.5,2.3,2.3
2014-10-28 07:50:00,2.3,0.6,1.2,1.2
2014-09-30 07:50:00,1.2,0.3,0.5,0.5
2014-08-29 07:50:00,0.5,0.1,-0.6,-0.6
2014-07-29 07:50:00,-0.6,-0.5,-0.4,-0.4
