datetime,EUR_PPI_MoM_Actual,EUR_PPI_MoM_Srv_Med,EUR_PPI_MoM_Revised,EUR_PPI_MoM_Prior
2023-09-05 17:00:00,None,None,-0.4,-0.4
2023-08-03 17:00:00,-0.4,-0.2,-1.9,-1.9
2023-07-05 17:00:00,-1.9,-1.8,-3.2,-3.2
2023-06-05 17:00:00,-3.2,-3.1,-1.3,-1.6
2023-05-04 17:00:00,-1.6,-1.7,-0.4,-0.5
2023-04-04 17:00:00,-0.5,-0.3,-2.8,-2.8
2023-03-03 18:00:00,-2.8,-0.3,1.1,1.1
2023-02-03 18:00:00,1.1,-0.4,-1.0,-0.9
2023-01-05 18:00:00,-0.9,-0.9,-3.0,-2.9
2022-12-02 18:00:00,-2.9,-2.0,1.6,1.6
2022-11-04 18:00:00,1.6,1.7,5.0,5.0
2022-10-04 17:00:00,5.0,4.9,4.0,4.0
2022-09-02 17:00:00,4.0,2.5,1.3,1.1
2022-08-03 17:00:00,1.1,1.0,0.5,0.7
2022-07-04 17:00:00,0.7,1.0,1.2,1.2
2022-06-02 17:00:00,1.2,2.3,5.3,5.3
2022-05-03 17:00:00,5.3,5.0,1.1,1.1
2022-04-06 17:00:00,1.1,1.3,5.1,5.2
2022-03-03 18:00:00,5.2,2.3,3.0,2.9
2022-02-03 18:00:00,2.9,2.8,1.8,1.8
2022-01-06 18:00:00,1.8,1.2,5.4,5.4
2021-12-02 18:00:00,5.4,3.5,2.8,2.7
2021-11-04 18:00:00,2.7,2.2,1.1,1.1
2021-10-05 17:00:00,1.1,1.3,2.5,2.3
2021-09-02 17:00:00,2.3,1.1,1.4,1.4
2021-08-03 17:00:00,1.4,1.4,1.3,1.3
2021-07-02 17:00:00,1.3,1.2,0.9,1.0
2021-06-02 17:00:00,1.0,0.9,1.1,1.1
2021-05-05 17:00:00,1.1,1.1,0.5,0.5
2021-04-08 17:00:00,0.5,0.6,1.7,1.4
2021-03-03 18:00:00,1.4,1.2,0.9,0.8
2021-02-03 18:00:00,0.8,0.7,0.4,0.4
2021-01-06 18:00:00,0.4,0.1,0.4,0.4
2020-12-02 18:00:00,0.4,0.2,0.4,0.3
2020-11-04 18:00:00,0.3,0.3,0.1,0.1
2020-10-01 17:00:00,0.1,0.1,0.7,0.6
2020-09-02 17:00:00,0.6,0.5,0.7,0.7
2020-08-04 17:00:00,0.7,0.5,-0.6,-0.6
2020-07-02 17:00:00,-0.6,-0.5,-2.0,-2.0
2020-06-03 17:00:00,-2.0,-1.8,-1.5,-1.5
2020-05-05 17:00:00,-1.5,-1.3,-0.7,-0.6
2020-04-02 17:00:00,-0.6,-0.2,0.2,0.4
2020-03-03 18:00:00,0.4,0.5,0.1,0.0
2020-02-04 18:00:00,0.0,0.3,0.1,0.2
2020-01-06 18:00:00,0.2,0.1,0.1,0.1
2019-12-03 18:00:00,0.1,0.0,0.1,0.1
2019-11-05 18:00:00,0.1,0.1,-0.5,-0.5
2019-10-03 17:00:00,-0.5,-0.3,0.1,0.2
2019-09-03 17:00:00,0.2,0.2,-0.6,-0.6
2019-08-02 17:00:00,-0.6,-0.3,-0.1,-0.1
2019-07-02 17:00:00,-0.1,-0.1,-0.3,-0.3
2019-06-05 17:00:00,-0.3,0.3,-0.1,-0.1
2019-05-03 17:00:00,-0.1,0.0,0.1,0.1
2019-04-02 17:00:00,0.1,0.2,0.3,0.4
2019-03-04 18:00:00,0.4,0.4,-0.8,-0.8
2019-02-04 18:00:00,-0.8,-0.7,-0.3,-0.3
2019-01-04 18:00:00,-0.3,-0.2,0.8,0.8
2018-12-04 18:00:00,0.8,0.5,0.6,0.5
2018-11-06 18:00:00,0.5,0.4,0.4,0.3
2018-10-02 17:00:00,0.3,0.2,0.7,0.4
2018-09-04 17:00:00,0.4,0.3,0.4,0.4
2018-08-02 17:00:00,0.4,0.3,0.8,0.8
2018-07-03 17:00:00,0.8,0.4,0.0,0.0
2018-06-04 17:00:00,0.0,0.3,0.1,0.1
2018-05-03 17:00:00,0.1,0.1,0.1,0.1
2018-04-05 17:00:00,0.1,0.0,0.4,0.4
2018-03-02 18:00:00,0.4,0.4,0.1,0.2
2018-02-02 18:00:00,0.2,0.3,0.6,0.6
2018-01-05 18:00:00,0.6,0.3,0.4,0.4
2017-12-04 18:00:00,0.4,0.3,0.5,0.6
2017-11-06 18:00:00,0.6,0.4,0.3,0.3
2017-10-03 17:00:00,0.3,0.1,0.0,0.0
2017-09-04 17:00:00,0.0,0.1,-0.2,-0.1
2017-08-02 18:00:00,-0.1,-0.1,-0.3,-0.4
2017-07-04 17:00:00,-0.4,-0.2,0.0,0.0
2017-06-02 17:00:00,0.0,0.3,-0.3,-0.3
2017-05-03 17:00:00,-0.3,-0.1,0.0,0.0
2017-04-03 17:00:00,0.0,0.3,1.1,0.7
2017-03-02 18:00:00,0.7,0.6,0.8,0.7
2017-02-02 18:00:00,0.7,0.4,0.3,0.3
2017-01-05 18:00:00,0.3,0.1,0.8,0.8
2016-12-02 18:00:00,0.8,0.2,0.1,0.1
2016-11-04 18:00:00,0.1,-0.1,-0.2,-0.2
2016-10-04 17:00:00,-0.2,-0.1,0.3,0.1
2016-09-02 17:00:00,0.1,0.1,0.8,0.7
2016-08-02 17:00:00,0.7,0.4,0.6,0.6
2016-07-04 17:00:00,0.6,0.3,-0.3,-0.3
2016-06-02 17:00:00,-0.3,0.1,0.3,0.3
2016-05-03 17:00:00,0.3,0.1,-0.7,-0.7
2016-04-04 17:00:00,-0.7,-0.6,-1.1,-1.0
2016-03-02 18:00:00,-1.0,-0.7,-0.8,-0.8
2016-02-02 18:00:00,-0.8,-0.6,-0.2,-0.2
2016-01-06 18:00:00,-0.2,-0.2,-0.3,-0.3
2015-12-02 18:00:00,-0.3,-0.4,-0.4,-0.3
2015-11-04 18:00:00,-0.3,-0.4,-0.8,-0.8
2015-10-02 17:00:00,-0.8,-0.6,-0.1,-0.1
2015-09-02 17:00:00,-0.1,-0.1,-0.1,-0.1
2015-08-04 17:00:00,-0.1,-0.1,0.0,0.0
2015-07-02 17:00:00,0.0,0.1,-0.1,-0.1
2015-06-02 17:00:00,-0.1,0.1,0.2,0.2
2015-05-05 17:00:00,0.2,0.3,0.6,0.5
2015-04-07 17:00:00,0.5,0.1,-1.1,-0.9
2015-03-03 18:00:00,-0.9,-0.7,-1.0,-1.0
2015-02-03 18:00:00,-1.0,-0.7,-0.3,-0.3
2015-01-08 18:00:00,-0.3,-0.2,-0.3,-0.4
2014-12-02 18:00:00,-0.4,0.3,0.2,0.2
2014-11-04 18:00:00,0.2,0.1,-0.2,-0.1
2014-10-02 17:00:00,-0.1,-0.2,-0.2,-0.1
2014-09-02 17:00:00,-0.1,-0.1,0.2,0.1
2014-08-04 17:00:00,0.1,0.0,-0.1,-0.1
2014-07-02 17:00:00,-0.1,-0.1,-0.1,-0.1
2014-06-04 17:00:00,-0.1,-0.1,-0.2,-0.2
2014-05-05 17:00:00,-0.2,-0.2,-0.2,-0.2
2014-04-02 17:00:00,-0.2,-0.1,-0.3,-0.3
2014-03-04 18:00:00,-0.3,-0.1,0.2,0.2
2014-02-04 18:00:00,0.2,0.1,-0.1,-0.1
2014-01-07 18:00:00,-0.1,-0.1,-0.5,-0.5
2013-12-03 18:00:00,-0.5,-0.2,0.2,0.1
2013-11-05 18:00:00,0.1,0.2,0.0,0.0
2013-10-04 17:00:00,0.0,0.1,0.2,0.3
2013-09-03 17:00:00,0.3,0.1,0.0,0.0
2013-08-02 17:00:00,0.0,0.1,-0.3,-0.3
2013-07-02 17:00:00,-0.3,-0.2,-0.6,-0.6
2013-06-04 17:00:00,-0.6,-0.3,-0.2,-0.2
2013-05-03 17:00:00,-0.2,-0.2,0.2,0.2
2013-04-04 17:00:00,0.2,0.1,0.4,0.6
2013-03-04 18:00:00,0.6,0.5,-0.2,-0.2
