发布日期 时间 今值 预测值 前值
2023年8月16日 (七月) 14:00 -0.6% -0.7% 0.3%
2023年7月19日 (六月) 14:00 0.3% 0.4% 0.7%
2023年6月21日 (五月) 14:00 0.7% 0.5% 1.5%
2023年5月24日 (四月) 14:00 1.5% 1.3% 0.7%
2023年4月19日 (三月) 14:00 0.7% 0.6% 1.2%
2023年3月22日 (二月) 15:00 1.2% 0.6% 0.0%
2023年2月15日 (一月) 15:00 0.0% -0.2% 0.6%
2023年1月18日 (十二月) 15:00 0.6% 0.7% 0.6%
2022年12月14日 (十一月) 15:00 0.6% 0.5% 2.5%
2022年11月16日 (十月) 15:00 2.5% 1.8% 0.7%
2022年10月19日 (九月) 14:00 0.7% 0.5% 0.6%
2022年9月14日 (八月) 14:00 0.6% 0.7% 0.9%
