发布日期 时间 今值 预测值 前值
2023年8月16日 (七月) 14:00 0.1% -0.2% -0.2%
2023年7月19日 (六月) 14:00 -0.3% -0.3% -0.6%
2023年6月21日 (五月) 14:00 -0.5% -0.1% -0.2%
2023年5月24日 (四月) 14:00 0.0% -0.1% 0.0%
2023年4月19日 (三月) 14:00 0.1% -0.1% -0.4%
2023年3月22日 (二月) 15:00 -0.3% 0.2% 0.5%
2023年2月15日 (一月) 15:00 0.5% 0.1% -0.8%
2023年1月25日 (十二月) 15:00 -0.8% 0.3% 1.0%
2022年11月16日 (十月) 15:00 0.3% 0.5% 0.3%
2022年10月19日 (九月) 14:00 0.2% 0.3% 0.1%
2022年9月14日 (八月) 14:00 -0.1% 0.9% 1.6%
2022年8月17日 (七月) 14:00 1.6% 0.8% 1.4%
