发布日期 时间 今值 预测值 前值
2023年8月16日 (七月) 14:00 -3.3% -3.1% -2.9%
2023年7月19日 (六月) 14:00 -2.7% -1.6% 0.4%
2023年6月21日 (五月) 14:00 0.5% 1.2% 4.2%
2023年5月24日 (四月) 14:00 3.9% 7.0% 7.3%
2023年4月19日 (三月) 14:00 7.6% 7.0% 12.8%
2023年3月22日 (二月) 15:00 12.7% 12.0% 14.7%
2023年2月15日 (一月) 15:00 14.1% 14.7% 16.2%
2023年1月25日 (十二月) 15:00 16.5% 18.0% 19.2%
2022年11月16日 (十月) 15:00 19.2% 18.0% 20.8%
2022年10月19日 (九月) 14:00 20.0% 18.8% 20.9%
2022年9月14日 (八月) 14:00 20.5% 22.4% 22.6%
2022年8月17日 (七月) 14:00 22.6% 23.9% 24.1%
