datetime,US_CPCE_MoM_Actual,US_CPCE_MoM_Srv_Med,US_CPCE_MoM_Revised,US_CPCE_MoM_Prior
2023-08-31 20:30:00,None,None,0.2,0.2
2023-07-28 20:30:00,0.2,0.2,0.3,0.3
2023-06-30 20:30:00,0.3,0.3,0.4,0.4
2023-05-26 20:30:00,0.4,0.3,0.3,0.3
2023-04-28 20:30:00,0.3,0.3,0.3,0.3
2023-03-31 20:30:00,0.3,0.4,0.5,0.6
2023-02-24 21:30:00,0.6,0.4,0.4,0.3
2023-01-27 21:30:00,0.3,0.3,0.2,0.2
2022-12-23 21:30:00,0.2,0.2,0.3,0.2
2022-12-01 21:30:00,0.2,0.3,0.5,0.5
2022-10-28 20:30:00,0.5,0.5,0.5,0.6
2022-09-30 20:30:00,0.6,0.5,0.1,0.1
2022-08-26 20:30:00,0.1,0.3,0.6,0.6
2022-07-29 20:30:00,0.6,0.5,0.3,0.3
2022-06-30 20:30:00,0.3,0.4,0.3,0.3
2022-05-27 20:30:00,0.3,0.3,0.3,0.3
2022-04-29 20:30:00,0.3,0.3,0.3,0.4
2022-03-31 20:30:00,0.4,0.4,0.5,0.5
2022-02-25 21:30:00,0.5,0.5,0.5,0.5
2022-01-28 21:30:00,0.5,0.5,0.5,0.5
2021-12-23 21:30:00,0.5,0.4,0.5,0.4
2021-11-24 23:00:00,0.4,0.4,0.2,0.2
2021-10-29 20:30:00,0.2,0.2,0.3,0.3
2021-10-01 20:30:00,0.3,0.2,0.3,0.3
2021-08-27 20:30:00,0.3,0.3,0.5,0.4
2021-07-30 20:30:00,0.4,0.6,0.5,0.5
2021-06-25 20:30:00,0.5,0.6,0.7,0.7
2021-05-28 20:30:00,0.7,0.6,0.4,0.4
2021-04-30 20:30:00,0.4,0.3,0.1,0.1
2021-03-26 21:30:00,0.1,0.1,0.2,0.3
2021-02-26 21:30:00,0.3,0.2,0.3,0
2020-11-25 23:00:00,0,0.1,0.2,0.2
2020-10-30 20:30:00,0.2,0.2,0.3,0.3
2020-10-01 20:30:00,0.3,0.3,0.4,0.3
2020-08-28 20:30:00,0.3,0.5,0.3,0.2
2020-07-31 20:30:00,0.2,0.2,0.2,0.1
2020-06-26 20:30:00,0.1,0.2,-0.4,-0.4
2020-05-29 20:30:00,-0.4,-0.3,-0.1,-0.1
2020-04-30 20:30:00,-0.1,-0.1,0.2,0.2
2020-03-27 20:30:00,0.2,0.2,0.2,0.1
2020-02-28 21:30:00,0.1,0.2,0.2,0.2
2020-01-31 21:30:00,0.2,0.1,0.1,0.1
2019-12-20 23:00:00,0.1,0.1,0.1,0.1
2019-11-27 23:00:00,0.1,0.2,0.0,0
2019-10-31 20:30:00,0,0.1,0.1,0.1
2019-09-27 20:30:00,0.1,0.2,0.2,0.2
2019-08-30 20:30:00,0.2,0.3,0.2,0.2
2019-07-30 20:30:00,0.2,0.2,0.2,0.2
2019-06-28 20:30:00,0.2,0.2,0.2,0.2
2019-05-31 20:30:00,0.2,0.2,0.1,0.1
2019-04-29 20:30:00,0.1,0.2,0.1,0.1
2019-03-29 20:30:00,0.1,0.2,0.2,0.2
2019-03-01 21:30:00,0.2,0.2,0.2,0.1
2018-12-21 23:00:00,0.1,0.2,0.1,0.1
2018-11-29 21:30:00,0.1,0.2,0.2,0.2
2018-10-29 20:30:00,0.2,0.1,0.0,0
2018-09-28 20:30:00,0,0.1,0.2,0.2
2018-08-30 20:30:00,0.2,0.2,0.1,0.1
2018-07-31 20:30:00,0.1,0.1,0.2,0.2
2018-06-29 20:30:00,0.2,0.2,0.2,0.2
2018-05-31 20:30:00,0.2,0.1,0.2,0.2
2018-04-30 20:30:00,0.2,0.2,0.2,0.2
2018-03-29 20:30:00,0.2,0.2,0.3,0.3
2018-03-01 21:30:00,0.3,0.3,0.2,0.2
2018-01-29 21:30:00,0.2,0.2,0.1,0.1
2017-12-22 21:30:00,0.1,0.1,0.2,0.2
2017-11-30 21:30:00,0.2,0.2,0.2,0.1
2017-10-30 20:30:00,0.1,0.1,0.1,0.1
2017-09-29 20:30:00,0.1,0.2,0.1,0.1
2017-08-31 20:30:00,0.1,0.1,0.1,0.1
2017-08-01 20:30:00,0.1,0.1,0.1,0.1
2017-06-30 20:30:00,0.1,0.1,0.1,0.2
2017-05-30 20:30:00,0.2,0.1,-0.1,-0.1
2017-05-01 20:30:00,-0.1,-0.1,0.2,0.2
2017-03-31 20:30:00,0.2,0.2,0.3,0.3
2017-03-01 21:30:00,0.3,0.2,0.1,0.1
2017-01-30 21:30:00,0.1,0.1,0.0,0
2016-12-22 23:00:00,0,0.1,0.1,0.1
2016-11-30 21:30:00,0.1,0.1,0.1,0.1
2016-10-31 20:30:00,0.1,0.1,0.2,0.2
2016-09-30 20:30:00,0.2,0.2,0.1,0.1
2016-08-29 20:30:00,0.1,0.1,0.1,0.1
2016-08-02 20:30:00,0.1,0.1,0.2,0.2
2016-06-29 20:30:00,0.2,0.2,0.2,0.2
2016-05-31 20:30:00,0.2,0.2,0.1,0.1
2016-04-29 20:30:00,0.1,0.1,0.2,0.1
2016-03-28 20:30:00,0.1,0.2,0.3,0.3
2016-02-26 23:00:00,0.3,0.2,0.1,0
2016-02-01 21:30:00,0,0.1,0.2,0.1
2015-12-23 21:30:00,0.1,0.1,0.0,0
2015-11-25 21:30:00,0,0.1,0.2,0.1
2015-10-30 20:30:00,0.1,0.2,0.1,0.1
2015-09-28 20:30:00,0.1,0.1,0.1,0.1
2015-08-28 20:30:00,0.1,0.1,0.1,0.1
2015-08-03 20:30:00,0.1,0.1,0.1,0.1
2015-06-25 20:30:00,0.1,0.1,0.1,0.1
2015-06-01 20:30:00,0.1,0.2,0.1,0.1
2015-04-30 20:30:00,0.1,0.2,0.1,0.1
2015-03-30 20:30:00,0.1,0.1,0.1,0.1
2015-03-02 21:30:00,0.1,0.1,0.0,0
2015-02-02 21:30:00,0,0.1,0.0,0
2014-12-23 23:00:00,0,0.1,0.2,0.2
2014-11-26 21:30:00,0.2,0.1,0.1,0.1
2014-10-31 20:30:00,0.1,0.1,0.1,0.1
2014-09-29 20:30:00,0.1,0.1,0.1,0.1
2014-08-29 20:30:00,0.1,0.1,0.1,0.1
2014-08-01 20:30:00,0.1,0.1,0.2,0.2
2014-06-26 20:30:00,0.2,0.2,0.2,0.2
