发布日期 时间 今值 预测值 前值
2023年8月16日 (七月) 14:00 6.8% 6.8% 7.9%
2023年7月19日 (六月) 14:00 7.9% 8.2% 8.7%
2023年6月21日 (五月) 14:00 8.7% 8.4% 8.7%
2023年5月24日 (四月) 14:00 8.7% 8.3% 10.1%
2023年4月19日 (三月) 14:00 10.1% 9.8% 10.4%
2023年3月22日 (二月) 15:00 10.4% 9.9% 10.1%
2023年2月15日 (一月) 15:00 10.1% 10.3% 10.5%
2023年1月18日 (十二月) 15:00 10.5% 10.5% 10.7%
2022年12月14日 (十一月) 15:00 10.7% 10.9% 11.1%
2022年11月16日 (十月) 15:00 11.1% 10.7% 10.1%
2022年10月19日 (九月) 14:00 10.1% 10.0% 9.9%
2022年9月14日 (八月) 14:00 9.9% 10.2% 10.1%
